tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,won
2004-500,Halle,Grass,32,A,20040607,18,103096,,,Arnaud Clement,R,173,FRA,26.4722792608,37,860,7-6(4) 6-2,3,R16,96,4,4,66,36,28,13,10,2,4,1
2004-500,Halle,Grass,32,A,20040607,19,102562,3,,Jiri Novak,R,190,CZE,29.2128678987,19,1310,6-3 6-1,3,R16,58,5,2,48,36,29,6,8,4,4,1
2004-500,Halle,Grass,32,A,20040607,20,103163,,WC,Tommy Haas,R,188,GER,26.1793292266,112,360,6-7(3) 6-2 6-4,3,R16,115,10,4,90,56,43,26,15,8,8,1
2004-500,Halle,Grass,32,A,20040607,21,103888,6,,Mardy Fish,R,188,USA,22.4941820671,23,1230,6-4 6-3,3,R16,65,13,4,56,35,32,8,10,2,3,1
2004-500,Halle,Grass,32,A,20040607,22,104269,,,Fernando Verdasco,L,188,ESP,20.5612594114,50,749,6-3 6-4,3,R16,69,7,6,64,43,36,9,10,2,2,1
2004-500,Halle,Grass,32,A,20040607,23,103017,,,Nicolas Kiefer,R,183,GER,26.9240246407,31,1005,5-7 6-4 6-4,3,R16,150,4,2,98,60,46,19,16,4,7,1
2004-500,Halle,Grass,32,A,20040607,24,102783,2,,Rainer Schuettler,R,180,GER,28.1177275838,8,2225,7-6(5) 6-4,3,R16,94,8,2,75,54,45,11,11,4,4,1
2004-500,Halle,Grass,32,A,20040607,25,103819,1,,Roger Federer,R,185,SUI,22.8309377139,1,5610,6-3 7-5,3,QF,72,5,4,56,39,34,10,11,0,0,1
2004-500,Halle,Grass,32,A,20040607,26,102562,3,,Jiri Novak,R,190,CZE,29.2128678987,19,1310,6-4 7-6(1),3,QF,96,4,1,85,58,40,17,11,3,3,1
2004-500,Halle,Grass,32,A,20040607,27,103888,6,,Mardy Fish,R,188,USA,22.4941820671,23,1230,6-2 6-2,3,QF,52,10,1,39,23,22,10,8,0,0,1
2004-500,Halle,Grass,32,A,20040607,28,102783,2,,Rainer Schuettler,R,180,GER,28.1177275838,8,2225,6-3 7-6(2),3,QF,76,7,3,59,34,29,18,11,0,0,1
2004-500,Halle,Grass,32,A,20040607,29,103819,1,,Roger Federer,R,185,SUI,22.8309377139,1,5610,6-3 6-4,3,SF,53,4,2,50,31,25,15,10,0,0,1
2004-500,Halle,Grass,32,A,20040607,30,103888,6,,Mardy Fish,R,188,USA,22.4941820671,23,1230,6-4 4-6 7-6(4),3,SF,125,14,1,104,55,40,31,16,3,5,1
2004-500,Halle,Grass,32,A,20040607,31,103819,1,,Roger Federer,R,185,SUI,22.8309377139,1,5610,6-0 6-3,3,F,57,3,0,42,31,25,8,8,0,0,1
2004-468,Estoril,Clay,32,A,20040412,1,103812,,,Victor Hanescu,R,198,ROU,22.726899384,64,548,7-6(4) 6-7(4) 6-3,3,R32,163,5,3,127,75,51,23,17,7,11,1
2004-468,Estoril,Clay,32,A,20040412,2,103694,,,Olivier Rochus,R,168,BEL,23.2306639288,68,534,6-4 7-5,3,R32,83,1,1,73,49,35,12,11,4,6,1
2004-468,Estoril,Clay,32,A,20040412,3,103285,,,Radek Stepanek,R,185,CZE,25.3744010951,53,650,7-6(4) 6-3,3,R32,98,4,2,76,46,31,13,10,6,9,1
2004-468,Estoril,Clay,32,A,20040412,4,104252,,Q,Florian Mayer,R,190,GER,20.5201916496,121,337,6-3 6-4,3,R32,65,4,1,55,32,26,10,10,1,3,1
2004-468,Estoril,Clay,32,A,20040412,5,103181,,Q,Jiri Vanek,R,185,CZE,25.9685147159,175,216,7-6(3) 3-6 7-6(3),3,R32,158,7,4,109,58,42,28,16,7,11,1
2004-468,Estoril,Clay,32,A,20040412,6,103535,,,Olivier Patience,R,180,FRA,24.0492813142,126,315,3-6 6-2 6-4,3,R32,94,3,3,85,56,34,18,14,2,5,1
2004-468,Estoril,Clay,32,A,20040412,7,104383,,WC,Diogo Rocha,U,,POR,19.8275154004,999,6,7-5 2-6 6-3,3,R32,145,1,5,91,60,40,11,15,2,7,1
2004-468,Estoril,Clay,32,A,20040412,8,103428,5,,Juan Ignacio Chela,R,190,ARG,24.6187542779,26,1090,6-3 6-4,3,R32,82,1,2,68,40,29,16,10,2,3,1
2004-468,Estoril,Clay,32,A,20040412,9,103498,8,,Marat Safin,R,193,RUS,24.2080766598,32,985,5-7 6-2 6-2,3,R32,123,14,6,88,43,32,26,14,5,7,1
2004-468,Estoril,Clay,32,A,20040412,10,103693,,,Thierry Ascione,R,188,FRA,23.2334017796,97,398,7-6(5) 6-0,3,R32,83,5,4,62,37,30,14,9,4,4,1
2004-468,Estoril,Clay,32,A,20040412,11,103151,,,Mariano Zabaleta,R,183,ARG,26.1190965092,43,880,3-6 6-1 6-2,3,R32,88,2,5,74,44,35,12,12,4,6,1
2004-468,Estoril,Clay,32,A,20040412,12,103990,4,,Tommy Robredo,R,180,ESP,21.9493497604,20,1200,6-0 RET,3,R32,50,0,8,42,18,12,12,3,4,4,1
